batch,accuracy,phase,drift_point
295,0.92,drifting,False
296,0.915,drifting,False
297,0.91,drifting,False
298,0.93,drifting,False
299,0.91,drifting,False
300,0.935,drifting,False
301,0.87,drifting,False
302,0.905,drifting,False
303,0.91,drifting,False
304,0.925,drifting,False
305,0.965,drifting,False
306,0.93,drifting,False
307,0.91,drifting,False
308,0.96,drifting,False
309,0.94,drifting,False
310,0.955,drifting,False
311,0.94,drifting,False
312,0.95,drifting,False
313,0.95,drifting,False
314,0.945,drifting,False
315,0.935,drifting,False
316,0.98,drifting,False
317,0.91,drifting,False
318,0.91,drifting,False
319,0.94,drifting,False
320,0.93,drifting,False
321,0.92,drifting,False
322,0.97,drifting,False
323,0.915,drifting,False
324,0.945,drifting,False
325,0.91,drifting,False
326,0.955,drifting,False
327,0.75,drifting,False
328,0.97,drifting,False
329,0.925,drifting,False
330,0.95,drifting,False
331,0.975,drifting,False
332,0.9,drifting,False
333,0.91,drifting,False
334,0.95,drifting,False
335,0.785,drifting,False
336,0.765,drifting,False
337,0.865,drifting,False
338,0.96,drifting,False
339,0.845,drifting,False
340,0.955,drifting,False
341,0.955,drifting,False
342,0.915,drifting,False
343,0.965,drifting,False
344,0.96,drifting,False
345,0.91,drifting,False
346,0.925,drifting,False
347,0.935,drifting,False
348,0.95,drifting,False
349,0.91,drifting,False
350,0.94,drifting,False
351,0.95,drifting,False
352,0.94,drifting,False
353,0.945,drifting,False
354,0.935,drifting,False
355,0.905,drifting,False
356,0.905,drifting,False
357,0.92,drifting,False
358,0.915,drifting,False
359,0.93,drifting,False
360,0.925,drifting,False
361,0.93,drifting,False
362,0.925,drifting,False
363,0.94,drifting,False
364,0.795,drifting,False
365,0.91,drifting,False
366,0.95,drifting,False
367,0.9,drifting,False
368,0.94,drifting,False
369,0.95,drifting,False
370,0.96,drifting,False
371,0.92,drifting,False
372,0.95,drifting,False
373,0.905,drifting,False
374,0.96,drifting,False
375,0.93,drifting,False
376,0.965,drifting,False
377,0.925,drifting,False
378,0.945,drifting,False
379,0.915,drifting,False
380,0.935,drifting,False
381,0.94,drifting,False
382,0.95,drifting,False
383,0.96,drifting,False
384,0.92,drifting,False
385,0.93,drifting,False
386,0.94,drifting,False
387,0.855,drifting,False
388,0.935,drifting,False
389,0.9,drifting,False
390,0.955,drifting,False
391,0.93,drifting,False
392,0.985,drifting,False
393,0.925,drifting,False
394,0.955,drifting,False
395,0.895,drifting,False
396,0.89,drifting,False
397,0.945,drifting,False
398,0.915,drifting,False
399,0.925,drifting,False
